,Styrene (µL),Polystyrene (µL)
0,43.2,256.8
1,71.39999999999999,228.6
2,61.6,238.4
3,124.2,175.79999999999998
4,96.8,203.2
5,117.2,182.8
6,79.2,220.79999999999998
7,107.6,192.39999999999998
8,168.6,131.4
9,128.8,171.20000000000002
10,151.4,148.6
11,152.6,147.4
12,183.4,116.6
13,82.8,217.2
14,119.2,180.79999999999998
15,202.2,97.8
16,260.4,39.6
17,155.2,144.8
18,50.599999999999994,249.4
19,58.0,242.0
20,146.8,153.2
21,214.8,85.19999999999999
22,182.0,118.0
23,136.0,164.0
24,211.6,88.4
25,268.8,31.200000000000003
26,70.0,230.0
27,233.79999999999998,66.2
28,216.6,83.4
29,163.6,136.4
30,26.200000000000003,273.8
31,180.0,120.0
32,82.2,217.8
33,262.0,38.0
34,172.8,127.2
35,215.39999999999998,84.60000000000001
36,37.599999999999994,262.4
37,150.39999999999998,149.60000000000002
38,104.2,195.79999999999998
39,267.8,32.2
40,197.60000000000002,102.4
41,167.2,132.79999999999998
42,150.0,150.0
43,210.2,89.80000000000001
44,264.8,35.2
45,125.8,174.20000000000002
